,2,3,4,5,6,7,8,44,45,46
67,17.63,21.65,23.51,28.70,33.98,39.07,45.79,139.37,140.83,148.04
68,17.75,21.84,23.90,28.92,34.15,39.27,45.89,141.33,142.81,150.05
69,17.84,21.98,24.29,29.33,34.31,39.45,46.02,143.36,144.85,152.12
70,17.88,22.02,24.76,29.65,34.93,39.58,46.39,146.31,147.84,153.96
71,17.95,22.20,25.13,30.01,35.47,40.26,46.51,148.50,150.05,156.17
72,18.30,22.30,25.44,30.36,35.71,41.10,46.62,150.67,152.25,158.35
73,18.84,22.42,25.74,30.71,36.06,41.69,46.73,152.82,154.42,160.55
74,19.56,22.50,26.04,31.08,36.58,42.28,46.91,154.26,155.88,161.05
75,20.16,23.05,26.11,31.54,37.21,42.67,47.00,155.98,157.62,162.18
76,20.82,23.77,26.18,32.01,37.63,43.33,47.23,157.86,159.52,164.08
77,21.49,24.25,26.64,32.38,37.84,44.09,47.30,159.14,160.80,165.02
78,22.05,24.65,27.14,32.69,38.05,44.77,47.34,159.97,161.64,166.19
79,22.72,25.55,27.75,33.15,38.77,45.02,47.67,160.00,161.68,166.65
80,23.25,26.18,28.32,33.57,39.38,45.61,48.00,161.65,163.34,167.50
81,23.72,26.59,28.91,33.79,39.86,46.25,48.13,162.97,164.69,168.34
82,24.40,27.12,29.50,34.36,39.93,46.77,48.34,163.78,165.50,169.11
83,25.02,27.61,30.07,34.58,40.40,47.36,48.85,165.53,167.28,169.74
84,25.67,28.21,30.62,35.18,40.96,47.92,49.37,167.40,169.16,171.60
85,26.28,28.83,31.15,35.70,41.54,48.39,49.88,169.31,171.08,173.49
86,26.91,29.40,31.72,36.11,42.00,48.80,50.40,171.06,172.85,175.25
87,27.61,30.01,32.36,36.22,42.50,49.26,50.92,172.95,174.76,177.12
88,28.38,30.62,32.90,36.74,43.02,49.75,51.45,174.81,176.65,178.99
89,29.26,31.11,33.46,37.26,43.51,50.23,51.98,176.61,178.46,180.77
90,30.11,31.57,33.92,37.49,43.71,50.31,52.49,178.37,180.24,183.22
91,30.55,32.06,34.51,37.85,44.14,50.42,53.02,180.25,182.14,184.39
92,31.21,32.60,34.97,38.36,44.66,50.63,53.56,181.93,183.85,186.06
93,31.88,33.17,35.59,38.85,44.98,50.80,54.07,183.68,185.61,187.82
94,32.55,33.71,36.04,39.32,45.47,50.90,54.61,185.39,187.34,189.51
95,33.24,34.23,36.55,39.80,45.75,51.06,55.14,187.14,189.10,191.26
96,33.91,34.76,37.11,40.22,46.00,51.32,55.65,188.83,190.82,192.93
97,34.62,35.35,37.63,40.80,46.52,51.40,56.19,190.61,192.61,194.70
98,35.33,35.88,38.29,41.25,47.01,51.76,56.72,192.27,194.29,196.37
99,36.04,36.40,38.96,41.73,47.51,52.25,57.25,194.04,196.09,198.14
100,36.65,36.94,39.62,42.30,48.00,52.74,57.78,195.83,197.88,199.90
101,37.22,37.49,40.29,42.85,48.49,53.22,58.29,197.58,199.66,201.65
102,37.58,38.00,40.72,43.37,48.95,53.68,58.83,199.38,201.47,203.45
103,38.18,38.54,41.19,43.77,49.38,54.12,59.32,201.15,203.26,205.21
104,38.74,39.05,41.64,44.21,49.82,54.56,59.85,203.02,205.16,207.07
105,39.31,39.59,42.08,44.63,50.26,55.01,60.34,204.80,206.96,208.84
106,39.91,40.13,42.53,45.05,50.69,55.47,60.86,206.67,208.84,210.70
107,40.45,40.69,42.98,45.48,51.12,55.94,61.38,208.55,210.75,212.58
108,40.99,41.23,43.43,45.90,51.57,56.40,61.90,210.42,212.63,214.43
109,41.53,41.76,43.87,46.33,51.99,56.85,62.42,212.19,214.42,216.21
110,42.01,42.32,44.33,46.74,52.47,57.33,62.94,213.97,216.21,217.96
111,42.43,42.75,44.80,47.17,52.89,57.78,63.58,216.36,218.64,220.90
112,42.85,43.18,45.25,47.60,53.31,58.25,64.24,218.77,221.07,223.85
113,43.23,43.61,45.71,48.01,53.76,58.70,64.74,220.64,222.97,225.73
114,43.70,44.06,46.17,48.44,54.19,59.15,65.26,222.54,224.88,227.63
115,44.14,44.52,46.66,48.87,54.61,59.63,65.75,224.40,226.77,229.50
116,44.56,45.08,47.11,49.21,54.96,59.97,66.14,225.77,228.15,231.30
117,44.98,45.52,47.56,49.64,55.38,60.43,66.66,227.56,229.95,233.07
118,45.42,45.97,48.03,50.06,55.81,60.88,67.15,229.33,231.75,234.87
119,45.86,46.43,48.49,50.47,56.25,61.34,67.98,232.60,235.05,239.32
120,46.60,46.87,48.97,50.91,56.68,61.80,68.50,234.49,236.96,241.22
121,47.08,47.24,49.43,51.25,57.03,62.13,68.87,236.03,238.52,243.23
122,47.39,47.47,49.90,51.67,57.45,62.58,69.41,238.00,240.52,245.23
123,47.84,47.96,50.38,52.09,57.87,63.05,69.93,240.00,242.53,247.23
124,48.27,48.38,50.87,52.54,58.33,63.49,70.43,241.98,244.54,249.24
125,48.72,48.84,51.35,52.97,58.75,63.95,70.94,243.97,246.54,251.24
126,49.17,49.28,51.82,53.29,59.07,64.28,71.36,245.46,248.05,253.23
127,49.60,49.75,52.30,53.72,59.50,64.73,71.85,247.45,250.05,255.24
128,50.06,50.08,52.79,54.16,59.92,65.16,72.38,249.43,252.07,257.25
129,50.51,50.52,53.26,54.60,60.36,65.61,72.90,251.41,254.06,259.25
130,50.96,50.98,53.72,55.00,60.78,66.07,73.42,253.40,256.07,261.25
131,51.41,51.45,54.23,55.35,61.09,66.41,74.12,256.09,258.79,265.78
132,51.87,51.92,54.71,55.77,61.52,66.84,74.64,258.07,260.80,267.80
133,52.33,52.39,55.20,56.19,61.93,67.29,75.15,260.06,262.81,269.82
134,52.77,52.84,55.70,56.65,62.39,67.73,75.70,262.06,264.82,271.85
135,53.15,53.33,56.18,57.09,62.87,68.20,76.20,264.03,266.82,273.87
136,53.56,53.79,56.68,57.55,63.34,68.68,76.74,266.01,268.82,275.88
137,54.01,54.28,57.18,57.94,63.69,69.08,77.25,268.02,270.85,277.92
138,54.47,54.75,57.71,58.45,64.29,69.63,77.76,270.00,272.85,279.95
139,54.93,55.27,58.22,58.92,64.76,70.09,78.29,271.99,274.87,281.96
140,55.40,55.77,58.73,59.38,65.25,70.55,78.82,273.86,276.75,283.87
141,55.86,56.26,59.27,59.81,65.61,70.90,79.19,275.21,278.12,285.79
142,56.07,56.76,59.78,60.28,66.07,71.36,79.69,277.13,280.06,287.74
143,56.54,57.25,60.31,60.74,66.56,71.85,80.22,278.99,281.94,289.65
144,57.01,57.75,60.84,61.20,67.03,72.31,80.74,280.89,283.85,291.57
145,57.20,58.27,61.37,61.66,67.51,72.77,81.26,282.85,285.83,293.59
146,57.66,58.75,61.89,62.11,67.99,73.23,81.76,284.84,287.85,295.62
147,58.12,59.27,62.45,62.58,68.45,73.71,82.29,286.82,289.85,297.64
148,58.47,59.77,62.96,63.05,68.94,74.19,82.82,288.80,291.86,299.67
149,58.78,60.29,63.49,63.50,69.42,74.64,83.72,292.17,295.26,304.57
150,59.25,60.80,64.49,65.54,69.92,75.12,84.24,294.16,297.27,309.53
